Postcode,Installation_2001,Output_2001,Installation_2002,Output_2002,Installation_2003,Output_2003,Installation_2004,Output_2004,Installation_2005,Output_2005,Installation_2006,Output_2006,Installation_2007,Output_2007,Installation_2008,Output_2008,Installation_2009,Output_2009,Installation_2010,Output_2010,Installation_2011,Output_2011,Installation_2012,Output_2012,Installation_2013,Output_2013,Installation_2014,Output_2014,Installation_2015,Output_2015,Installation_2016,Output_2016,Installation_2017,Output_2017,Installation_2018,Output_2018,Installation_2019,Output_2019,Installation_2020,Output_2020,Installation_2021,Output_2021,Installation_Total,Output_Total
3555,0,0,0,0,0,0,0,0,0,0,0,0,4,5.52,3,2.307,19,23.994,89,169.512,378,758.126,285,849.78,155,607.48,152,627.675,133,778.559,77,576.735,97,517.487,172,1088.407,239,1737.03,286,2384.37,102,618.525,2191,10745.507
3556,0,0,0,0,0,0,0,0,0,0,1,1.024,1,1,3,3.024,16,19.637,60,106.845,285,580.425,205,634.275,114,387.82,116,481.714,74,358,62,239.807,80,410.647,115,730.082,191,1191.091,248,1558.925,98,573.03,1669,7277.346
3557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.15,6,8.41,16,41.932,15,76.008,6,31,17,75.344,12,76.46,5,42.105,4,18.5,14,79.86,17,114.71,9,56.285,2,15.74,125,638.504
3558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.06,9,18.21,30,64.85,36,134.045,19,78.78,13,65.685,10,76.7,8,28.85,9,42.58,12,75.729,9,54.845,11,90.75,5,44.84,173,778.924
3559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.16,9,10.36,2,4.94,8,37.16,7,32.11,3,16,5,24.5,4,50.155,4,16.07,7,138.62,2,18.57,8,53.91,2,10.56,63,415.115
3561,0,0,0,0,0,0,0,0,1,2.04,0,0,0,0,2,1.99,7,8.94,60,96.844,128,362.543,128,525.54,79,350.04,52,240.697,39,182.557,44,418.7,35,264.57,66,529.365,76,666.33,91,1070.195,21,204.88,829,4925.231
3562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.05,8,13.58,6,24.89,6,28.3,2,14.2,3,18.5,3,11.25,1,5.2,5,131.34,9,98.51,6,72.44,9,64.65,2,16.65,61,500.56
3563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8.35,16,52.29,28,108.39,9,34.2,10,33,5,23,5,17.7,8,102.74,16,93.505,16,168.54,14,103.37,1,6.6,134,751.685
3564,0,0,0,0,0,0,1,1.12,0,0,1,1.7,1,2.004,3,6.014,48,57.742,148,268.594,331,978.58,276,1108.513,201,960.275,194,1217.149,168,1001.385,154,1130.12,173,1000.069,228,1856.42,255,2178.787,360,2935.585,94,654.19,2636,15358.247
3565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.05,0,0,3,30.39,4,46,1,3,0,0,0,0,0,0,2,12.055,1,13.2,1,7.77,0,0,13,113.465
3566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21.45,10,30.14,7,22.43,9,39.025,7,36.94,5,33.24,3,12.98,11,161.47,15,163.795,16,159.445,10,109.14,4,54.76,108,844.815
3567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.05,6,10.76,18,54.59,14,58.93,13,61.64,2,15,2,12,9,112.3,15,311.745,8,135.115,18,335.035,17,200.745,1,10.73,124,1319.64
3568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.22,21,38.42,66,219.515,65,260,54,226.08,24,106.445,26,250.36,42,424.145,43,501.135,54,593.035,50,484.175,68,847.59,18,193.03,534,4150.15
3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24.49,27,62.34,12,38.64,11,45.1,19,68.35,10,44.21,15,55.945,8,49.38,10,52.61,13,73.475,17,110.845,7,47.3,162,672.685
3571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.35,0,0,10,25.16,6,19.41,10,35.545,2,10,2,9.5,2,13.232,6,33.98,10,147.99,4,37.05,8,81.355,6,40.37,1,45.51,68,506.452
3572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0,0,0,0,1,14,1,3,2,8,0,0,1,3,3,37.9,3,14.8,3,37.3,3,77.99,2,12.52,20,209.91
3573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.16,5,8.28,3,9.71,4,11.86,4,16,6,93.03,5,18.14,3,9.16,5,53.8,3,103.61,5,31,10,174.17,1,5.94,55,536.86
3575,0,0,0,0,0,0,0,0,0,0,0,0,1,1.75,0,0,3,3,6,18.75,17,42.315,13,73.88,13,58.63,11,42.045,6,24,6,24.44,6,85.56,7,38.37,17,106.33,17,108.405,3,14.96,126,642.435
3576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14.74,0,0,1,5,0,0,1,5,0,0,1,5.232,1,99.55,1,6.6,0,0,8,136.122
3579,0,0,0,0,0,0,0,0,1,0.99,0,0,1,2.67,2,2.72,2,2.62,51,109.24,158,461.555,160,643.985,92,405.698,23,99.9,57,326.24,63,635.34,68,647.215,68,1015.715,70,666.675,112,1114.02,10,92.41,938,6226.993
