Small Generation Unit (SGU) - Solar Panel (Deemed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be aware that RET legislation allows a 12 month creation period for registered persons to create their certificates. The 2021 and 2020 figures will continue to rise due to the 12 month creation period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data as at 31/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Unit Installation Postcode,Previous Years (2001-2019) - Installations Quantity,Previous Years (2001-2019) - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
1470,2,5.810,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,2,5.81
1475,3,11.985,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,3,11.985
1480,2,4.880,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,2,4.88
1485,1,2.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,2
1490,1,1.510,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,1.51
1495,1,4.750,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.480,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,2,11.23
1560,1,5.025,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,5.025
1570,2,11.150,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,2,11.15
1595,3,11.700,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,3,11.7
1630,6,23.885,0,0.000,1,9.900,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,7,33.785
1640,2,15.075,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,2,15.075
1655,3,17.845,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,3,17.845
1658,1,5.040,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,5.04
1660,1,3.500,0,0.000,0,0.000,0,0.000,0,0.000,1,9.600,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,2,13.1
1670,1,4.440,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,4.44
1680,2,9.380,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,2,9.38
1685,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,4.800,1,4.8
1710,1,4.800,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,4.8
1715,2,3.010,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,2,3.01
1730,4,13.490,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,4,13.49
1741,1,10.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,10
1755,2,5.100,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,2,5.1
1765,7,19.200,0,0.000,0,0.000,0,0.000,0,0.000,1,6.600,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,8,25.8
1790,4,115.900,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,4,115.9
1800,1,4.200,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,4.2
1805,2,14.720,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,2,14.72
1830,1,6.080,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,6.08
1835,1,1.140,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,1.14
1848,1,1.040,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,1.04
1860,3,25.420,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,3,25.42
1871,1,1.520,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,1,1.52
