Postcode,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW
3904,1,4.56,1,15.08,2,9.15,2,7.044,2,7.86,1,6.16,2,9.28,1,4.48,2,9.36,0,0,1,7.848,2,9.705
3909,3,10.75,4,15.98,6,22.87,6,24.76,7,28.385,3,26.19,8,75.192,3,22.44,1,4.56,4,20.32,6,36.04,5,77.09
3910,8,35.01,8,32.71,14,75.135,6,29.64,10,39.235,5,12.08,9,49.245,10,60.93,7,48.79,4,15.03,11,67.965,16,113.575
3911,1,5.3,2,7.86,1,5.1,4,17.8,3,15.355,4,20.92,1,4.505,2,16.4,1,9.99,6,33.9,1,9.86,3,15.655
3912,6,26.63,6,28.665,2,9.08,3,12.285,4,129.76,5,22.71,15,93.825,12,54.48,11,69.75,10,60.97,9,55.17,9,71.99
3913,3,20.39,2,12.84,0,0,0,0,2,29.51,1,5.4,0,0,2,15.36,3,12.61,4,19.99,1,5.67,5,42.12
3915,4,13.05,1,4.5,9,38.28,4,23.08,6,35.84,6,28.2,8,54.15,6,24.7,7,69.38,3,13.23,12,52.51,9,114.05
3916,1,3.2,1,4.86,3,16.73,0,0,1,5.04,2,10.9,2,40.08,1,8.12,2,8.7,0,0,0,0,1,9.72
3918,2,7.56,3,14.48,2,8.32,1,5.4,1,6.38,2,15.37,1,4.56,1,5.13,1,5.72,3,18.72,5,29.75,3,17.82
3919,0,0,1,4.32,2,12.36,1,4.16,1,2.5,1,5.4,2,9.82,3,11.68,3,16.52,2,8.64,2,10.33,3,17.87
3921,0,0,1,6.2,0,0,0,0,0,0,1,2.79,0,0,1,11.8,1,4.96,0,0,0,0,0,0
3922,4,15.97,12,51.12,4,16.38,5,25.53,14,74.355,10,54.485,6,19.765,15,85.11,14,122.93,14,64.05,11,52.57,8,42.64
3923,3,11.23,1,5.7,1,4.4,0,0,0,0,2,7.12,1,5.2,3,15.65,2,6.82,0,0,1,5.4,0,0
3925,4,21.24,5,21.68,4,12.64,1,6.48,8,42.335,4,16.69,3,14.27,4,19.14,3,14.67,9,45.13,5,33.61,8,39.64
3926,1,9.72,2,27.23,4,26.963,4,12.4,5,32.355,2,9.445,2,10.07,3,13.28,2,17.486,4,31.15,2,13.08,4,23.71
3927,0,0,1,5.72,2,6.775,2,11.18,1,4.42,0,0,2,8.43,1,4.68,0,0,2,9.62,0,0,1,4.94
3928,0,0,0,0,3,34.12,0,0,0,0,1,5.12,1,10.05,1,4.69,0,0,1,30.09,2,10.53,2,11
3929,0,0,2,8.352,1,9.435,0,0,2,7.725,1,7.95,1,3.2,1,5.4,1,6.21,0,0,1,6.54,3,83.585
3930,6,29.225,8,36.18,7,27.08,6,50.095,9,46.385,12,60.512,13,73.64,8,41.79,8,52.747,9,53.63,9,44.015,12,101.98
3931,3,12.42,18,99.93,14,52.92,8,58.185,13,79.84,5,55.58,11,94.19,6,38.29,7,32.635,12,55.34,18,80.637,18,80.53
3933,0,0,1,3.36,1,5.76,2,32.7,2,12.42,0,0,0,0,0,0,1,9.99,0,0,1,25,0,0
3934,8,39.15,9,36.68,15,62.93,9,35.27,11,82.37,8,47.03,8,40.1,7,36.24,10,55.37,17,105.45,12,60.293,16,68.749
