Postcode,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW
2072,0,0,2,18.17,6,49.23,3,25.1,4,26.51,7,51.695,2,18.26,5,62.96,1,11.84,3,26.52,4,33.26,7,63.21
2073,7,54.82,9,75.5,15,86.88,6,64.875,6,48.37,8,47.695,8,64.84,10,81.55,14,112.29,19,158.355,16,133.315,16,144.2
2074,9,73.85,8,60.605,15,191.035,23,178.225,17,121.28,16,120.23,21,204.07,15,121.44,12,92.59,23,213.395,29,285.25,24,280.215
2075,8,62.38,12,85.76,18,133.63,17,155.185,16,114.705,18,213.09,15,118.03,13,95.085,23,253.69,26,195.075,36,292.24,42,377.21
2076,6,39.67,17,105.42,16,122.855,16,140.035,14,122.76,18,135.905,13,106.52,15,115.19,17,151.925,18,145.075,27,204.875,17,154.27
2077,11,80.815,19,139.84,19,134.835,21,166.195,16,123.8,11,75.31,18,148.61,16,124.49,26,228.205,24,180.02,31,223.38,30,313.5
2079,8,56.03,5,31.905,7,48.1,10,71.645,3,18.48,4,24.93,11,81.465,9,63.64,10,82.46,4,26.265,13,87.425,9,73.27
2080,0,0,1,13.2,3,112.875,2,13.2,3,23.75,1,6.6,3,111.66,2,14.3,4,28.91,3,53.28,2,15.9,0,0
2081,3,19.4,9,63.655,7,44.085,8,61.52,5,32.01,3,18.36,4,26.61,8,66.93,8,53.74,3,23.59,10,68.64,5,37.73
2082,5,33.66,6,39.845,7,51.88,7,44.78,6,41.4,8,50.365,4,39.77,5,37.69,6,43.03,10,80.17,7,58.98,7,57.97
2083,2,13.425,3,22.67,2,14.3,8,58.25,1,6.5,2,35.82,3,36.75,2,14.42,1,9.1,2,39.96,4,25.44,1,6.175
2084,4,49.04,2,31.35,7,55.39,1,6.93,1,10.56,3,43.07,0,0,2,25.14,5,33.2,8,71.395,7,88.21,3,120.94
2085,11,73.47,11,67.34,8,51.81,10,92.205,8,52.93,12,89.905,7,58.485,14,121.915,15,121.635,12,106.325,14,138.775,18,136.735
2086,7,41.01,6,39.56,10,168.345,11,80.155,15,117.03,12,122.155,14,103.36,21,155.65,14,113.88,21,192.34,11,77.14,24,180.57
2087,8,51.44,9,67.335,15,94.04,10,56.65,14,91.57,4,35.23,16,118.72,21,151.695,13,113.715,16,120.78,8,77.83,15,115.63
2088,8,73.335,7,73.05,11,79.235,17,275.485,13,132.985,14,132.18,11,79.7,13,92.54,15,122.23,14,158.965,15,141.5,20,214.89
2089,2,15.05,1,17.955,1,5.4,2,11.88,2,10.98,1,7.875,2,16.73,2,7.92,0,0,3,115.08,3,16.89,5,49.83
2090,2,13.635,3,21.65,1,6.3,3,33.48,2,67.805,3,25.7,2,11.09,1,5.28,2,17,0,0,2,25.5,4,43.45
2092,2,12.82,6,50.745,6,131.07,8,78.3,10,122.24,4,37.04,11,109.51,7,61.305,7,68.865,7,52.465,9,93.295,5,40.125
2093,5,59.7,22,161.48,14,98.25,23,165.98,17,150.96,17,143.555,16,152.18,17,116.835,16,113.19,19,156.705,18,142.545,13,88.6
2094,3,7.26,1,2.96,5,32.84,3,19.96,4,26.32,4,27.415,1,6.48,2,14.18,5,38.44,2,13,5,38.505,1,35.1
2095,3,24.91,5,69.09,6,33.73,5,35.67,7,55.05,2,12.42,3,19.88,1,9.99,7,39.38,4,28.785,11,93.655,4,55.355
2096,5,31.29,6,47.09,10,78.185,12,81.35,7,40.445,6,44.64,10,64.43,10,67.27,10,67.94,8,64.445,13,94.655,14,109.24
2097,6,34.92,9,60.275,11,74.44,12,85.09,11,90.86,10,63.73,10,137.06,19,129.465,17,121.78,9,65.79,15,125.34,14,95.135
2099,16,112.305,26,167.255,22,175.335,25,164.68,13,74.72,14,104.14,14,103.7,16,111.7,21,211.37,20,170.455,25,184.85,25,308.125
2100,14,115.28,9,60.335,16,106.545,20,130.14,8,88.19,23,232.705,11,120.34,21,179.01,17,232.955,30,264.935,23,205.51,24,328.55
2101,8,54.45,8,58.96,9,69.175,12,78.56,4,23.34,17,103.725,10,77.88,13,128.925,11,113.965,11,115.065,16,138.38,10,86.235
2102,4,23.8,5,37.125,8,59.03,4,22.01,9,118.565,6,56.145,7,46.175,8,69.16,10,76.7,17,114,8,88.88,10,88.96
2103,3,23.08,5,34.87,6,43.915,10,155.585,11,81.825,10,267.61,6,55.52,12,153.54,6,45.555,10,101,10,88.105,9,70.69
2104,0,0,2,12.9,1,6.615,3,20.4,1,27.06,6,51.765,4,24.33,3,40.97,7,60.69,0,0,4,54.075,3,26.37
2105,0,0,0,0,2,19.9,2,14.77,1,6.6,1,15.18,1,9.1,1,5.395,1,4.07,1,3.6,2,13.82,0,0
2106,4,30.99,2,11.93,8,55.32,3,19.5,4,24.35,6,37.22,6,44.16,8,61.61,5,43.34,7,79.89,4,53.04,8,67.535
2107,4,24.23,9,97.635,9,62.4,12,83.235,13,83.89,7,63.97,12,99.28,10,77.515,9,77.08,10,76.535,21,185.64,9,82.955
2108,2,8.66,1,6.65,3,26.79,3,20.45,1,6.6,0,0,1,10.56,1,5.84,1,1.98,1,6.6,5,53.42,2,19.76
2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2110,3,14.35,2,13.23,7,59.97,7,60.27,8,62.05,6,50.205,5,90.36,5,38.24,7,61.03,3,22.455,4,27.02,8,58.16
2111,9,187.395,7,66.275,9,53.415,8,73.54,5,43.275,5,36.608,10,75.555,10,61.47,5,41.54,7,62.72,10,103.67,17,126.46
2112,15,112.845,23,158.245,24,165.025,20,147.725,15,135.525,20,128.845,13,103.76,25,212.575,18,157.59,26,215.655,37,321.45,32,301.45
2113,9,75.38,3,26.4,13,221.67,16,124.275,15,291.06,11,101.19,11,119.35,16,110.91,15,243.68,15,112.56,9,73.34,15,260.69
2114,5,43.74,15,94.08,19,186.35,15,106.18,8,54.83,8,65.33,4,25.615,9,56.655,20,175.075,13,146.34,15,108.98,21,212.445
2115,4,28.25,5,43.51,7,46.2,9,56.82,4,28.3,4,26.355,3,19.25,12,94.73,8,66.16,10,70.46,11,102.13,15,108.275
2116,0,0,4,28.13,4,34.095,3,48.465,2,16.55,5,211.06,2,16.96,8,57.86,2,33,2,45.66,7,43.965,3,17.9
2117,10,70.11,11,81.62,10,75.18,13,109.8,12,179.175,9,57.935,9,62.23,13,89.58,10,78.02,14,108.11,27,230.91,16,137.73
2118,6,40.64,13,106.675,13,92.245,21,149.39,15,119.23,18,125.39,15,106.545,31,240.365,22,187.54,19,251.44,31,235.59,31,280.655
2119,4,32.26,4,27.38,6,49.27,8,51.2,7,42.755,8,59.985,12,99.28,12,82.26,8,61.94,12,79.37,15,114.4,11,104.8
