Postcode,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW
5035,6,73.63,4,34.5,12,164.43,2,26.64,3,19.98
5037,15,107.74,15,103.54,16,111.23,15,127.89,6,46.6
5038,20,157.45,21,234.57,30,226.365,23,148.7,11,72.29
5039,15,135.77,15,125.06,18,169.4,14,96.39,11,75.86
5040,1,5.94,2,14.4,2,20.35,2,14.8,0,0
5041,15,116.69,23,195.455,18,138.095,10,101.93,3,23.76
5042,8,51.94,15,118.4,16,132.34,6,40.41,6,54.44
5043,26,182.17,33,218.21,23,147.04,16,115.83,18,113.23
5044,11,76.04,19,154.87,17,137.84,11,73.34,11,110.755
5045,11,83.675,14,105.375,23,192.68,14,116.67,6,47.08
5046,13,93.91,17,111.7,11,80.79,14,109.85,6,40.96
5047,9,56.74,13,88.335,9,65.51,12,81.26,4,30.96
5048,19,187.59,19,148.55,14,111.6,21,182.56,8,70.96
5049,14,113.93,10,84.105,16,124.13,10,79.51,5,40.89
5050,5,55.715,12,114.18,11,98.305,11,93.47,7,55.98
5051,20,182.55,19,154.595,24,202.3,15,131.73,13,128.89
5052,11,70.825,13,101.54,10,66.66,8,65.37,5,46.22
5061,16,99.49,11,83.83,9,83.56,15,184.22,7,72.75
5062,19,146.35,20,155.385,21,188.845,20,168.89,11,87.45
5063,8,78.37,12,97.78,13,111.57,11,111.88,5,44.57
5064,13,111.75,19,170.95,16,187.985,16,168.04,6,57.9
5065,20,154.25,21,154.17,8,65.935,6,53.38,4,27.84
5066,14,133.98,18,156.22,21,194.705,16,151.085,12,140.805
5067,13,119.965,15,124.44,11,94.295,8,67.95,8,54.42
5068,19,159.615,23,207.965,17,188.92,10,107.46,4,30.34
5069,7,67.19,8,79.15,13,215.42,13,128.34,4,44.53
5070,20,160.115,28,206.13,26,286.29,13,113.29,11,91.575
5071,0,0,0,0,0,0,0,0,0,0
5072,27,225.77,22,211.645,29,229.65,18,135.94,6,53.38
5073,20,150.755,20,173.57,30,244.175,32,205.66,9,63.97
5074,18,129.11,12,87.31,32,234.79,17,208.87,15,94.23
5075,17,129.305,20,164.45,12,86.045,7,48.35,6,38.97
5076,10,95.17,17,134.26,21,184.08,10,70.46,7,47.88
5081,9,112.05,19,176.755,22,225.405,12,109.395,3,22.88
5082,25,199.625,16,141.67,23,267.005,21,177.55,11,89.13
5083,9,69.97,11,79.11,7,46.19,7,47.24,5,48.78
5084,15,98.41,9,62.75,13,91.09,4,29.6,7,48.04
5085,43,299.43,36,232.995,43,309.665,30,208.075,24,173.52
5086,23,157.495,27,208.75,25,181.825,18,137.62,11,78.86
5087,22,169.9,24,202.395,15,108.695,14,95.38,13,98.61
5088,5,48.47,4,38.34,5,32.75,2,13.26,1,11.1
5089,7,51.94,8,66.73,7,55.32,6,46.925,6,46.71
5090,8,67.245,16,126.13,8,58.57,8,49.76,5,39.26
5091,7,56.5,13,95.2,6,51.51,6,43.11,6,49.36
5092,25,163.33,32,243.33,23,182.11,16,116.985,12,94.44
5093,19,143.84,17,122.65,16,111.71,9,78.255,4,29.46
5094,2,17.16,6,173.1,6,227.37,4,79.93,1,6.66
5095,27,193.68,30,248.85,28,218.35,14,121.08,8,72.8
5096,17,113.555,21,169.32,24,196.38,22,196.31,9,73.15
5097,24,159.34,24,204.59,18,226.395,22,175,10,80.17
5098,17,111.32,17,108.45,16,111.72,6,53.53,9,69.87
5106,3,47.095,0,0,0,0,0,0,0,0
5107,28,211.92,24,168.715,32,268.55,19,188.15,10,77.7
5108,55,377.91,60,489.56,55,382.435,36,269.705,25,179.85
5109,24,166.18,24,168.3,45,315.48,17,123.595,8,59.19
5110,13,83.47,18,219.17,7,66.5,8,94.19,6,93.47
5111,0,0,0,0,0,0,0,0,0,0
5112,26,242.95,29,237.71,18,164.61,21,159.835,15,110.24
5113,25,166.45,28,232.92,23,178.9,27,233.29,10,81.56
5114,54,389.74,56,426.34,52,397.03,49,397.54,21,161.03
5115,18,131.44,28,206.28,21,155.64,12,103.71,15,132.13
5116,15,100.4,21,142.25,12,78.96,16,112.44,6,41.44
5117,11,86.84,17,117.02,11,97.33,11,135.41,11,114.09
5118,33,244.87,44,365.075,49,442.16,23,197.14,13,106.11
5120,7,76.48,2,13.32,11,226.79,2,15.02,7,112.34
5121,10,105.17,18,161.8,5,62.09,2,16.65,3,23.25
5125,28,275.33,34,305.08,35,288.035,18,147.57,13,107.21
5126,10,81.84,13,95.17,13,100.03,8,56.44,6,49.89
5127,15,93.18,7,45.565,11,77.76,5,33.21,4,33.08
5131,0,0,3,31.74,2,17.16,1,9.99,0,0
5132,0,0,0,0,2,13.32,1,19.8,0,0
5133,1,6.6,0,0,0,0,1,19.8,0,0
5134,0,0,0,0,0,0,0,0,0,0
5136,0,0,0,0,1,11.84,3,22.2,0,0
5137,1,19.8,6,110.63,0,0,0,0,0,0
5138,0,0,0,0,0,0,0,0,0,0
5139,1,19.8,0,0,1,31.68,0,0,0,0
5140,2,21.39,0,0,2,19.83,0,0,1,7.77
5141,0,0,5,43.66,0,0,0,0,0,0
5142,1,15.84,1,6.6,2,12.89,1,10.73,0,0
5144,1,5.55,0,0,0,0,1,6.66,0,0
5150,0,0,1,10.89,0,0,0,0,0,0
5151,0,0,1,10.56,0,0,0,0,1,10
5152,5,48.82,10,126.22,4,22.48,4,28.805,3,17.475
5153,9,70.92,11,103.045,14,161.605,11,94.62,3,26.58
5154,5,42.76,4,34.84,4,44.635,0,0,3,21.09
5155,3,19.98,9,80.3,10,94.82,9,85.68,1,6.6
5156,3,26.58,0,0,1,7.77,1,10.36,0,0
